County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population
"St. Louis city, MO",1791.995377,119,200,1778,3609,4995,13791,3543,464,318416
"Crittenden County, AR",1754.914968,8,38,165,662,1482,1753,189,28,49746
"Alexander County, IL",1664.700485,1,2,5,119,82,184,12,2,7629
"Kenedy County, TX",1456.31068,0,3,1,2,5,4,4,0,412
"De Soto Parish, LA",1447.40243,3,4,17,368,149,494,60,0,27083
"Baltimore city, MD",1419.5375689999998,216,317,3638,4660,7804,18055,4009,251,622104
"Shelby County, TN",1315.0037519999998,135,483,3512,8224,14011,30620,3233,435,939465
"Marlboro County, SC",1253.437132,3,20,32,296,408,1074,67,5,28003
"Storey County, NV",1217.656012,0,7,2,39,23,55,8,2,3942
"District of Columbia, DC",1216.801325,88,236,4037,3505,3519,23575,3663,51,646449
"Dillon County, SC",1165.583272,8,17,48,291,595,1206,105,12,31229
"Scott County, MO",1163.145839,2,7,26,422,236,1002,39,8,39290
"Philadelphia County, PA",1150.2963300000001,332,881,7984,8669,12004,38595,6401,0,1553165
"Pershing County, NV",1148.756725,0,3,1,75,27,43,5,0,6877
"Greenwood County, SC",1140.226324,7,39,73,676,965,2564,122,12,69723
"Madison County, TN",1138.4238300000002,13,33,196,882,1300,2604,180,27,98733
"Davidson County, TN",1129.513728,65,312,1753,5309,5875,20373,1418,100,658602
"Marion County, IN",1083.5081189999999,102,453,3486,6017,15125,29122,4757,414,928281
"Wayne County, MI",1065.188284,433,803,5879,11795,19882,34706,15251,766,1775273
"Jackson County, MO",1026.623686,116,358,1913,4594,9695,25994,4953,318,679996
"Northwest Arctic Borough, AK",1014.964216,0,23,12,43,46,126,38,2,7685
"Pemiscot County, MO",998.7095326,0,6,21,151,192,463,23,2,17823
"Iberville Parish, LA",974.0162436,5,9,26,285,266,928,26,0,33367
"Pulaski County, AR",959.9165822999998,61,179,1058,2458,7065,18011,1805,130,391284
"Jefferson County, AR",959.1343197999998,14,42,139,507,1400,2306,255,44,73191
"Miller County, AR",956.1771347000001,1,9,45,360,488,1597,130,6,43402
"Muskogee County, OK",954.4400666000001,3,34,41,593,878,1324,142,23,70303
"Barnwell County, SC",953.9310095000001,5,4,33,169,349,691,74,10,22119
"Tangipahoa Parish, LA",952.8593755,11,64,185,935,2683,4262,218,1,125412
"Marion County, SC",941.6313295,8,12,51,231,771,1060,92,12,32072
"Dillingham Census Area, AK",938.1237525,0,18,1,28,12,55,7,0,5010
"Dougherty County, GA",930.4176661,4,32,240,589,1600,3844,266,13,92969
"Carter County, OK",930.0694973999999,4,42,37,368,450,1327,109,23,48491
"Genesee County, MI",922.7783983999999,69,242,980,2542,6105,8311,936,313,415376
"Macon County, AL",919.3417310000001,6,10,25,140,516,640,110,3,19688
"Milwaukee County, WI",912.6349471000001,103,276,3426,4919,8744,29434,5223,351,956023
"Richland County, SC",911.4452882000002,24,184,809,2622,4965,12511,2087,51,399256
"Grundy County, TN",911.2461105000001,3,4,1,115,157,167,63,12,13498
"Greene County, AL",903.4766697000001,0,2,7,70,48,90,15,12,8744
"Rock County, MN",892.8571429,0,0,0,85,9,52,3,0,9520
"San Joaquin County, CA",887.1644385,89,152,1992,4016,8019,16847,4398,158,704379
"Pottawattamie County, IA",873.5225606,1,79,83,647,1166,3283,567,55,92728
"Nolan County, TX",871.1844117999999,0,27,10,94,143,345,19,1,15037
"Kodiak Island Borough, AK",856.0311284,0,8,10,103,23,200,31,3,14135
"Winnebago County, IL",854.9331535,15,196,553,1721,2939,7356,492,101,290666
"Suffolk County, MA",831.2342903,60,310,2257,3653,3956,16223,1998,11,755503
"Saginaw County, MI",828.830479,29,126,242,1232,1751,2707,223,56,196542
"Dallas County, AL",828.6503477000001,9,24,70,245,743,1415,158,26,41996
"Fulton County, GA",826.1767583,123,216,3365,4428,11091,31070,7645,135,984293
"Anchorage Municipality, AK",824.7217146,15,303,488,1676,1159,8724,845,98,300950
"Madison County, FL",822.2981632,1,7,13,133,153,317,16,4,18728
"Phillips County, AR",818.6675817,1,8,26,132,478,442,33,11,20399
"Sangamon County, IL",817.9969369,40,160,318,1110,2104,6278,875,76,199145
"Haywood County, TN",812.1158911,0,7,10,131,226,396,26,5,18224
"Lucas County, OH",810.9662621,40,184,1192,2122,7618,3320,1529,547,436393
"Robeson County, NC",809.8427036,13,32,273,775,2937,4637,385,69,134841
"Meade County, KS",805.8945428999999,0,1,0,34,5,23,0,0,4343
"Escambia County, FL",798.51676,22,162,502,1756,3899,9920,680,52,305817
"Jefferson County, AL",798.3574913,85,268,1597,3315,9910,19810,1809,185,659479
"Nicholas County, WV",793.3756981,1,7,2,196,86,308,19,16,25965
"Franklin County, FL",793.2402137999999,1,16,1,74,84,130,11,1,11598
"St. Clair County, IL",782.1542957,28,183,349,1528,2426,5150,657,70,266955
"Orleans Parish, LA",782.1184796,193,137,1066,1566,3431,8258,2218,0,378715
"Ector County, TX",781.9089826000001,5,44,163,956,1090,3571,516,26,149378
"Avoyelles Parish, LA",777.2585293,2,31,17,271,378,787,35,3,41299
"Rapides Parish, LA",773.7920330000001,9,43,169,806,1747,4207,249,4,132723
"Sumter County, SC",767.644257,12,30,103,685,1611,2713,346,54,108123
"Comanche County, OK",766.7864603999999,13,42,174,729,1702,3616,330,42,124937
"Mississippi County, AR",763.9897241,8,21,47,266,891,1273,114,6,44765
"Colleton County, SC",762.1467132,2,14,26,246,419,1151,194,14,37788
"Modoc County, CA",754.3456871000001,1,12,3,53,58,90,4,5,9147
"Alameda County, CA",753.6935735000001,153,477,6220,5050,13245,35841,13044,337,1578891
"Sumter County, GA",752.455044,0,4,40,192,741,826,42,0,31364
"Darlington County, SC",746.3016117999999,10,17,70,410,1178,2471,217,11,67935
"Red River Parish, LA",742.0733078,0,0,2,64,23,116,12,0,8894
"Lubbock County, TX",740.6920961,12,139,328,1664,3400,9224,828,52,289324
"Socorro County, NM",739.3084622,0,3,2,124,139,365,23,3,17584
"Duval County, TX",738.8316151,1,0,5,80,105,171,65,5,11640
"Bernalillo County, NM",738.4818924,50,329,1184,3416,7857,22025,3032,139,674221
"Marion County, TX",732.7796776,1,9,5,60,115,144,13,4,10235
"Lee County, SC",730.3646372999999,0,4,18,112,255,511,66,8,18347
"Shasta County, CA",725.2206951000001,7,97,165,1029,1754,3623,903,35,178980
"Laurens County, SC",724.7580365,6,31,49,394,734,1600,119,13,66229
"North Slope Borough, AK",722.6925459,1,14,3,52,36,59,11,1,9686
"Hinds County, MS",721.5219335,66,143,846,712,4627,7416,1272,69,244899
"Cibola County, NM",720.6877628999999,1,15,7,174,232,199,51,2,27335
"Tulsa County, OK",719.1412721,45,381,1122,2928,7291,15582,2702,263,622409
"Putnam County, FL",717.8582747,5,37,51,428,1029,1952,80,7,72577
"Jefferson County, TX",710.8948399,20,114,554,1106,3147,6454,519,99,252358
"Ohio County, WV",706.6572141,0,24,46,240,322,764,56,4,43727
"San Francisco County, CA",701.4217103999999,69,110,3554,2141,5401,29256,5381,211,837442
"Bamberg County, SC",699.9351912000001,0,2,21,85,231,415,41,2,15430
"Merced County, CA",696.3544912000001,23,54,331,1425,2686,6047,1358,83,263228
"Harris County, TX",696.1038338,307,1143,12449,16290,43644,114208,20829,1153,4336853
"Jim Wells County, TX",695.7773512,13,17,7,253,467,1089,93,14,41680
"Oklahoma County, OK",694.8738489,83,398,1137,3630,10118,23238,4163,145,755245
"McKinley County, NM",694.3307687999999,7,42,67,393,540,1615,127,18,73308
"Mississippi County, MO",693.1802269,2,4,6,87,128,286,13,8,14282
"Alpine County, CA",690.2502157,0,3,0,5,18,20,5,0,1159
"Calhoun County, GA",689.8666258,0,0,14,31,21,49,7,0,6523
"Dyer County, TN",688.2474551,0,9,23,231,387,1084,50,3,38213
"Clark County, NV",685.1530769999999,94,739,4422,8639,17538,33364,8213,297,2027868
"Guadalupe County, NM",681.1689739,0,0,6,25,34,53,8,1,4551
"San Juan County, NM",675.0828044,6,133,57,657,725,2325,189,29,126503
"Fairfield County, SC",675.0616643,4,8,15,129,211,607,68,5,23109
"McDonald County, MO",673.8186009,1,4,4,143,110,266,25,6,22558
"Taylor County, FL",673.754211,3,10,6,135,117,164,15,3,22857
"Wayne County, GA",668.2847357999999,8,6,24,163,318,1289,24,0,30077
"East Baton Rouge Parish, LA",667.0754469,84,77,1297,1512,5806,15182,671,213,445227
"Leon County, FL",664.1948589,17,137,576,1142,3378,7002,641,25,281845
"Lander County, NV",663.1299735,0,9,0,31,38,55,11,3,6032
"Orange County, FL",662.6310837,76,450,1977,5616,14034,32034,4013,50,1225267
"Leflore County, MS",661.2459265,2,24,46,137,601,906,34,3,31607
"Essex County, NJ",659.9836619,121,132,2938,2021,4849,10759,5882,119,789565
"Peach County, GA",658.9175982999999,0,2,19,157,286,688,47,1,27014
"Burke County, GA",658.7270427,2,1,11,137,215,397,21,0,22923
"Hamilton County, TN",658.496643,26,91,560,1619,3405,10133,1216,37,348673
"Miami-Dade County, FL",656.0124347999999,210,570,6006,10383,21105,82992,9451,226,2617176
"Columbia County, FL",654.3979391,3,20,46,373,812,1317,53,3,67543
"Crockett County, TN",651.0862861,1,11,2,81,81,171,15,0,14591
"Lenoir County, NC",650.100146,1,18,76,288,796,1468,67,11,58914
"Hempstead County, AR",649.6395835,2,16,12,116,332,615,51,6,22474
"Hutchinson County, TX",646.2257665,0,20,5,116,184,489,21,5,21819
"Richmond city, VA",644.9835135,44,43,640,654,2068,6833,952,54,214114
"Jefferson Davis County, MS",644.4593237,5,2,3,68,206,48,17,0,11948
"Conecuh County, AL",644.0599053,1,4,8,70,108,252,42,5,12887
"Morehouse Parish, LA",639.3909155,0,3,34,136,315,842,50,6,27057
"Early County, GA",635.5530259999999,1,3,8,55,105,196,6,0,10542
"Henderson County, TN",634.6263548,1,8,10,159,204,544,43,3,28048
"Richmond County, NY",634.123325,24,66,1143,1764,1053,6586,463,0,472621
"New York County, NY",634.0093435,81,227,3932,6070,3623,22730,1592,0,1626159
"Jefferson County, IL",633.9923403,0,20,27,198,326,832,30,16,38644
"Bronx County, NY",632.0428157,71,197,3420,5279,3165,19721,1385,0,1418733
"Queens County, NY",630.3962024,114,317,5522,8522,5088,31814,2235,0,2296175
"Kings County, NY",630.2492642000001,129,358,6235,9616,5742,35966,2524,0,2592149
"Warren County, GA",629.7229219,0,0,1,34,30,60,5,0,5558
"Nash County, NC",628.8580653,11,17,100,470,1125,1981,166,12,95093
"Lauderdale County, TN",626.0118726,2,9,16,147,420,472,41,4,27795
"Cocke County, TN",625.7222582,3,4,24,191,483,1033,89,15,35479
"Bowie County, TX",622.5464503,7,33,88,454,1073,2541,241,27,93487
"Hampton County, SC",622.3049784,0,7,18,102,203,336,27,17,20408
"Hendry County, FL",621.814203,0,15,37,181,595,646,52,8,37471
"Duval County, FL",621.5464156,94,355,1436,3621,8025,27335,1712,96,885855
"Durham County, NC",621.2408853,21,70,633,1066,3735,7491,772,61,288133
"Greene County, MO",620.7066615,17,163,362,1219,2863,13016,1238,86,283870
"Jefferson County, FL",619.9802734,0,3,6,79,103,64,9,2,14194
"Escambia County, AL",618.6978385,3,7,18,207,299,793,62,14,37983
"Horry County, SC",617.6419817000001,21,201,416,1151,3158,10088,1073,57,289650
"Nueces County, TX",616.5739392,18,194,392,1567,2723,11976,491,41,352107
"Sedgwick County, KS",615.5337693,24,273,513,2301,4575,17136,1967,160,505415
"Edgecombe County, NC",615.3956886,3,14,61,264,735,1301,83,13,55574
"Montgomery County, KS",615.303861,1,17,17,176,303,858,48,20,34292
"Caddo Parish, LA",614.7822368,17,98,436,1016,2642,7558,479,79,254887
"Graham County, AZ",613.6278747,1,0,0,229,119,251,21,7,37482
"Madera County, CA",612.9051308999999,2,35,139,758,1654,1715,648,11,152389
"Sebastian County, AR",612.5237549,6,77,97,600,1261,3804,199,12,127342
"Emanuel County, GA",612.2359732000001,2,6,14,118,253,799,59,2,22867
"Camden County, NJ",610.3101467,71,117,1182,1760,3986,11325,1388,173,512854
"Nye County, NV",609.9723385,0,11,26,221,334,687,126,10,42297
"Greenlee County, AZ",607.8019671,1,3,1,50,37,88,4,0,9049
"Alachua County, FL",605.2451953,10,138,253,1133,1917,6331,357,25,253451
"Union County, AR",604.5117216,1,4,36,205,522,802,62,7,40694
"Peoria County, IL",603.941007,14,53,347,723,1809,4545,290,61,188429
"Madison County, AL",603.3578173999999,18,107,523,1445,3217,8556,919,33,346892
"Calhoun County, MI",602.1686961,11,83,112,606,1405,2782,170,41,135012
"Williamsburg County, SC",601.8084495,4,11,39,145,440,785,116,17,33067
"Roberts County, TX",601.6847172,0,1,0,4,1,13,3,0,831
"Bradley County, TN",600.895452,1,38,54,519,681,2409,160,7,101848
"Anderson County, SC",600.0807801,18,55,157,914,2438,6372,835,36,190641
"Denver County, CO",599.0808243,39,383,1170,2299,5152,14857,3688,98,649495
"Chester County, SC",598.5634477000001,2,12,25,156,389,867,60,2,32578
"Lowndes County, AL",597.9631879,1,3,8,51,117,127,25,7,10703
"Willacy County, TX",597.6004743999999,0,14,4,113,226,463,16,7,21921
"Cook County, IL",596.6569350999999,566,463,15583,14657,34233,115634,20245,892,5240700
"Clark County, IN",593.2458517000001,3,16,73,579,954,3388,263,4,112938
"DeKalb County, GA",592.9851123,80,163,2140,1847,10669,21449,5575,184,713340
"Potter County, TX",592.6303417,5,60,154,502,1218,3529,363,30,121661
"Arkansas County, AR",591.1487457999999,0,4,24,83,339,429,34,7,18777
"Chicot County, AR",591.0895457,0,4,8,56,83,171,2,2,11335
"Cochise County, AZ",590.856781,4,40,52,669,713,2662,197,32,129473
"Wyandotte County, KS",590.457901,16,90,286,554,1834,5085,1256,80,160384
"Turner County, GA",590.1155643,0,6,4,38,46,161,19,3,8134
"Lake County, CA",588.7879737000001,3,33,60,280,766,958,201,25,63860
"Luna County, NM",588.0206009999999,0,9,6,130,243,583,28,4,24659
"Manatee County, FL",585.7833537,26,141,388,1449,2720,7699,404,14,342106
"Hampden County, MA",583.3274487000001,11,151,788,1776,4570,9836,1231,115,467319
"Haralson County, GA",582.5583436000001,1,6,4,155,310,442,90,1,28495
"New Castle County, DE",581.7888096,46,130,1167,1855,4310,12637,1015,22,549684
"Calhoun County, AL",580.7976974,6,37,131,504,1710,3482,147,34,116736
"Jackson County, IL",580.1317417,1,29,53,264,488,1683,73,20,59814
"St. James Parish, LA",579.2570797999999,1,6,9,110,128,401,16,0,21752
"Sullivan County, TN",578.5625339,3,56,70,777,1077,4129,299,37,156595
"Greenville County, SC",577.3131534,20,189,451,2078,4000,11148,1254,67,474266
"Concordia Parish, LA",577.2429312,2,4,5,107,142,304,18,0,20442
"Jefferson County, KY",576.7462264,78,266,1557,2465,8103,21941,2430,250,756832
"Kern County, CA",575.8432818,65,174,1313,3424,10931,17584,6246,589,864124
"Clayton County, GA",575.2781772999999,28,71,693,728,4477,7068,1636,34,264220
"Plumas County, CA",572.6708732999999,0,15,1,92,143,271,23,0,18859
"Emporia city, VA",572.6556908,0,3,5,24,71,213,15,2,5588
"Kershaw County, SC",571.0538102,2,30,26,299,663,1333,124,4,62516
"Mecosta County, MI",570.6597383,0,20,0,226,181,691,27,4,43108
"Natchitoches Parish, LA",569.7787317000001,4,7,24,188,518,1223,50,4,39138
"Eddy County, NM",569.6670332,7,26,19,263,628,1596,133,7,55471
"Union County, SC",567.2493757,2,9,20,128,270,776,31,8,28030
"West Carroll Parish, LA",566.9428696,0,0,0,65,49,285,10,3,11465
"Vermilion County, IL",565.1757149,4,63,88,299,955,1979,124,27,80329
"Rio Arriba County, NM",563.9848272999999,1,5,38,182,401,396,39,3,40072
"Cumberland County, NC",562.7993899,30,95,728,980,6378,11924,999,104,325871
"Hardeman County, TN",562.6092907000001,4,3,11,130,225,376,54,8,26306
"Independence County, AR",562.2077466,0,22,16,170,601,830,121,25,36997
"St. Mary Parish, LA",562.1649888999999,1,19,41,240,412,1329,73,3,53543
"Chambers County, AL",562.0279843,1,7,24,160,374,875,96,5,34162
"Tehama County, CA",561.3968313999999,3,17,36,298,451,896,160,5,63057
"Brooks County, GA",560.7115236000001,0,12,10,65,117,328,34,0,15516
"Champaign County, IL",560.2815072999999,4,129,226,789,1571,4040,166,47,204897
"Glynn County, GA",559.4542867,6,13,125,312,957,2814,112,8,81508
"Petersburg city, VA",559.3459955,5,7,59,111,395,939,107,7,32538
"Norfolk city, VA",558.2211677,34,88,502,750,2327,8972,759,62,246139
"Henderson County, IL",557.9399142000001,0,1,1,37,69,103,0,1,6990
"Sierra County, CA",557.9258287,0,0,0,17,16,37,2,1,3047
"East Carroll Parish, LA",557.8430070000001,3,0,3,36,57,68,0,0,7529
"Claiborne County, TN",557.6679341,1,4,13,158,369,425,51,9,31560
"Mecklenburg County, NC",556.9251355,54,240,1886,3339,8340,25995,2295,233,990977
"Del Norte County, CA",556.0937107999999,1,22,24,108,288,283,116,6,27873
"Prince George's County, MD",555.679764,63,173,2450,2260,6050,20025,5092,159,890081
"Lafayette Parish, LA",554.9178019999999,17,37,267,960,2110,6959,396,46,230845
