County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng
"St. Louis city, MO",1791.995377,119,200,1778,3609,4995,13791,3543,464,318416,4.37,4.5,1.9777777777777779,50,38.62669009381907,-90.29331451089479
"Crittenden County, AR",1754.914968,8,38,165,662,1482,1753,189,28,49746,3.36,3.5,1.3571428571428572,50,35.169865035733224,-90.42485720950485
"Alexander County, IL",1664.700485,1,2,5,119,82,184,12,2,7629,4.16,4.0,1.72,50,37.258090473596496,-89.52092435455488
"Kenedy County, TX",1456.31068,0,3,1,2,5,4,4,0,412,3.625,3.75,1.2,8,27.232553586568486,-97.74060835045279
"De Soto Parish, LA",1447.40243,3,4,17,368,149,494,60,0,27083,3.875,4.0,1.2857142857142858,16,32.06503659445174,-93.69933311557774
"Baltimore city, MD",1419.5375689999996,216,317,3638,4660,7804,18055,4009,251,622104,4.29,4.5,2.0425531914893615,50,39.293057591462905,-76.60443780141071
"Shelby County, TN",1315.0037519999996,135,483,3512,8224,14011,30620,3233,435,939465,4.31,4.5,1.7608695652173914,50,35.137195279425725,-89.99641625192817
"Marlboro County, SC",1253.437132,3,20,32,296,408,1074,67,5,28003,3.24,3.5,1.1111111111111112,25,34.60873491720075,-79.6840260418615
"Storey County, NV",1217.656012,0,7,2,39,23,55,8,2,3942,4.42,4.5,1.9,50,39.506570496395,-119.79357374449796
"District of Columbia, DC",1216.801325,88,236,4037,3505,3519,23575,3663,51,646449,4.29,4.5,2.0714285714285716,50,38.90357579966642,-77.02976576908245
"Dillon County, SC",1165.583272,8,17,48,291,595,1206,105,12,31229,3.369047619047619,3.5,1.3125,42,34.435796446554214,-79.36059947951496
"Scott County, MO",1163.145839,2,7,26,422,236,1002,39,8,39290,3.5,4.0,1,5,37.1123779310798,-89.54135196257586
"Philadelphia County, PA",1150.29633,332,881,7984,8669,12004,38595,6401,0,1553165,4.23,4.0,2.1041666666666665,50,39.952756703666616,-75.16163102364207
"Pershing County, NV",1148.756725,0,3,1,75,27,43,5,0,6877,3.9,4.0,1.5476190476190477,50,40.66833779022306,-117.85137548641622
"Greenwood County, SC",1140.226324,7,39,73,676,965,2564,122,12,69723,3.9,4.0,1.5813953488372092,50,34.20237656862039,-82.15735883760588
"Madison County, TN",1138.4238300000004,13,33,196,882,1300,2604,180,27,98733,3.94,4.0,1.6444444444444444,50,35.64975296845292,-88.83580934300521
"Davidson County, TN",1129.513728,65,312,1753,5309,5875,20373,1418,100,658602,4.29,4.5,2.02,50,36.165869931594315,-86.77761110950107
"Marion County, IN",1083.508119,102,453,3486,6017,15125,29122,4757,414,928281,4.3,4.5,1.9166666666666667,50,39.77202612730839,-86.14995911881583
"Wayne County, MI",1065.188284,433,803,5879,11795,19882,34706,15251,766,1775273,4.29,4.5,1.5416666666666667,50,42.27363413007025,-83.2018397452594
"Jackson County, MO",1026.623686,116,358,1913,4594,9695,25994,4953,318,679996,3.78,4.0,1.6875,50,39.03085822986701,-94.36305294834861
"Pemiscot County, MO",998.7095326,0,6,21,151,192,463,23,2,17823,3.28125,3.5,1.1666666666666667,16,36.21722163667479,-89.70384249705032
"Iberville Parish, LA",974.0162436,5,9,26,285,266,928,26,0,33367,4.05,4.0,1.9361702127659575,50,29.95625463516614,-90.06948126456983
"Pulaski County, AR",959.9165822999997,61,179,1058,2458,7065,18011,1805,130,391284,4.28,4.5,1.7708333333333333,50,34.7567084357577,-92.37409942138153
"Jefferson County, AR",959.1343197999997,14,42,139,507,1400,2306,255,44,73191,3.94,4.0,1.3421052631578947,50,34.286565682184246,-91.98053250039288
"Muskogee County, OK",954.4400666,3,34,41,593,878,1324,142,23,70303,3.8333333333333335,4.0,1.25,15,35.47323443514793,-95.46635191986728
"Barnwell County, SC",953.9310095,5,4,33,169,349,691,74,10,22119,3.033333333333333,3.0,1.4,15,33.259648369884275,-81.41896187185442
"Tangipahoa Parish, LA",952.8593755,11,64,185,935,2683,4262,218,1,125412,3.2285714285714286,3.5,1.2,35,30.547359965031415,-90.47504324256464
