County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng
"Northwest Arctic Borough, AK",1014.964216,0,23,12,43,46,126,38,2,7685,0,0,0,0,0,0
"Miller County, AR",956.1771347,1,9,45,360,488,1597,130,6,43402,0,0,0,0,0,0
"Dillingham Census Area, AK",938.1237525,0,18,1,28,12,55,7,0,5010,0,0,0,0,0,0
"Kodiak Island Borough, AK",856.0311284,0,8,10,103,23,200,31,3,14135,0,0,0,0,0,0
"North Slope Borough, AK",722.6925459,1,14,3,52,36,59,11,1,9686,0,0,0,0,0,0
"Randolph County, WV",435.15213330000006,2,14,5,107,158,508,25,7,29415,0,0,0,0,0,0
"Solano County, CA",434.5697148,28,115,659,1044,4322,6435,2433,118,424788,0,0,0,0,0,0
"Buchanan County, MO",382.6800995,1,22,93,227,1065,3573,384,29,89631,0,0,0,0,0,0
"Claiborne County, MS",291.7972549,2,5,5,15,136,90,21,4,9253,0,0,0,0,0,0
"Bethel Census Area, AK",275.93197430000004,1,14,2,32,39,58,38,4,17758,0,0,0,0,0,0
"Lyon County, IA",239.0710383,0,3,0,25,22,53,11,0,11712,0,0,0,0,0,0
"Aleutians West Census Area, AK",235.8918527,1,1,1,10,8,43,10,0,5511,0,0,0,0,0,0
"Snohomish County, WA",200.8277105,16,159,437,886,5336,13756,2405,143,745913,0,0,0,0,0,0
"Davie County, NC",175.67502530000004,1,8,11,53,308,620,33,3,41554,0,0,0,0,0,0
"Miller County, MO",163.39869280000005,0,4,1,36,190,414,16,3,25092,0,0,0,0,0,0
"Piatt County, IL",158.2182194,0,8,1,17,66,79,5,3,16433,0,0,0,0,0,0
"Irion County, TX",124.0694789,0,0,0,2,16,18,0,0,1612,0,0,0,0,0,0
"Brewster County, TX",107.6889942,0,1,0,9,34,87,9,1,9286,0,0,0,0,0,0
"Jeff Davis County, TX",88.77052818,0,0,1,1,4,4,0,0,2253,0,0,0,0,0,0
"Cleveland County, AR",81.46165484,0,0,1,6,70,47,9,0,8593,0,0,0,0,0,0
"Wayne County, IA",15.62011871,0,0,0,1,6,10,0,0,6402,0,0,0,0,0,0
"Presidio County, TX",13.88696014,0,0,0,1,5,16,2,0,7201,0,0,0,0,0,0
"Yukon-Koyukuk Census Area, AK",0.0,0,0,0,0,0,0,0,0,5695,0,0,0,0,0,0
"Wade Hampton Census Area, AK",0.0,0,0,0,0,0,0,0,0,7977,0,0,0,0,0,0
"Yakutat City and Borough, AK",0.0,0,0,0,0,0,0,0,0,642,0,0,0,0,0,0
"Aleutians East Borough, AK",0.0,0,0,0,0,0,0,0,0,3092,0,0,0,0,0,0
"Southeast Fairbanks Census Area, AK",0.0,0,0,0,0,0,0,0,0,6985,0,0,0,0,0,0
